feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,state
-0.085956,-0.025777,0.016297,0.133226,0.026224,0.05816,0.20695,-1.294425,0.030645,0.011988,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,2.944304,9.171538,-0.261081,-0.115162,-0.018818,0.370552,0.014329,0.148388,0.341207,-1.168799,0.371035,0.012385,-0.0,2.12949,34.179687,36.132812,69.335937,1.953125,6.675092,27.828264,-0.411421,-0.303589,-0.13581,0.130676,-0.141716,0.154518,-0.079325,-1.401853,0.120977,0.010893,-0.0,2.12949,0.976562,1.953125,69.335937,70.3125,12.472795,16.283489,rung_12_5
-0.194687,-0.037062,0.001216,0.130074,0.008714,0.070712,-0.289814,-0.267885,0.051511,0.004676,-0.0,1.962227,34.179687,0.0,0.976562,36.132812,2.655329,9.20218,-0.220887,-0.122253,-0.023318,0.320352,0.008919,0.146972,0.373486,-1.185624,0.361953,0.019598,-0.0,1.962227,34.179687,36.132812,69.335937,70.3125,6.502128,26.350147,-0.300274,-0.167583,-0.061793,0.233775,-0.039167,0.141229,0.151668,-1.308041,0.203367,0.000887,-0.0,1.962227,1.953125,0.0,6.835937,69.335937,10.657802,15.703428,rung_12_5
-0.076983,-0.018658,0.023795,0.138013,0.033583,0.057479,0.190196,-1.353749,0.049453,0.002416,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,2.898876,9.167009,-0.26939,-0.116408,-0.02224,0.334605,0.010685,0.149529,0.306748,-1.163621,0.478683,0.010865,-0.0,2.12949,34.179687,0.0,36.132812,0.976562,6.639027,27.558302,-0.494454,-0.297168,-0.111466,0.195138,-0.134989,0.183227,-0.16486,-1.298667,0.228931,0.014988,-0.0,2.12949,0.976562,1.953125,5.859375,6.835937,11.860357,15.994191,rung_12_5
-0.113539,-0.026521,0.014552,0.138152,0.023575,0.059844,0.108248,-1.095234,0.074345,0.011971,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.188073,9.306872,-0.517692,-0.148712,-0.05588,0.314896,-0.024806,0.167552,0.017116,-0.462434,0.380421,0.016098,-0.0,2.12949,34.179687,36.132812,69.335937,0.976562,7.493197,26.973536,-0.460833,-0.24226,-0.095953,0.202994,-0.088769,0.173695,-0.099017,-1.446531,0.306802,0.01591,-0.0,2.12949,0.0,1.953125,4.882812,5.859375,12.537945,16.157804,rung_12_5
-0.11863,-0.029015,0.012031,0.134887,0.021441,0.060766,0.117643,-1.088303,0.085158,0.00611,-0.0,1.962227,0.0,34.179687,0.976562,36.132812,3.175306,9.918141,-0.211029,-0.139042,-0.035294,0.305252,-0.001061,0.148168,0.362126,-1.266128,0.299055,0.013262,-0.0,1.962227,34.179687,69.335937,36.132812,70.3125,6.943421,27.856022,-0.505819,-0.324327,-0.10955,0.135839,-0.154841,0.173932,-0.441322,-1.184525,0.175778,0.024501,-0.0,1.962227,0.976562,1.953125,2.929688,4.882812,11.940582,15.401109,rung_12_5
-0.054606,-0.011339,0.029908,0.16326,0.039819,0.057044,0.221946,-1.328918,0.059432,0.003266,-0.0,1.962227,35.15625,34.179687,0.976562,36.132812,3.50813,9.719777,-0.212062,-0.101355,0.006722,0.587714,0.037981,0.160375,0.480789,-0.594818,0.317958,0.009366,-0.0,1.962227,34.179687,0.0,36.132812,69.335937,7.171681,28.380274,-0.346806,-0.190674,-0.059402,0.183221,-0.071889,0.132821,-0.151338,-1.17091,0.045282,0.01502,-0.0,1.962227,0.0,1.953125,69.335937,70.3125,10.733804,15.104028,rung_12_5
-0.063548,-0.013188,0.027216,0.142846,0.03768,0.057669,0.213257,-1.356856,0.114718,0.0044,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,3.195917,9.472895,-0.205974,-0.113581,-0.018612,0.345288,0.017879,0.146907,0.397791,-1.158846,0.385093,0.007725,-0.0,2.12949,34.179687,36.132812,0.0,69.335937,7.23597,26.357294,-0.616774,-0.439474,-0.206158,0.175551,-0.209687,0.237709,-0.085358,-1.380893,0.133843,0.045392,-0.0,2.12949,0.976562,1.953125,6.835937,4.882812,12.207611,14.666498,rung_12_5
-0.143626,-0.025345,0.014372,0.138747,0.023504,0.064322,-0.035201,-0.741371,0.051471,0.006079,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,2.938452,8.815333,-0.22269,-0.095011,-0.000388,0.368066,0.032572,0.147246,0.336501,-1.199873,0.332418,0.01366,-0.0,2.12949,34.179687,0.0,0.976562,36.132812,6.764939,26.541922,-0.556679,-0.373432,-0.203438,0.170634,-0.162858,0.2219,-0.098525,-1.508466,0.273529,0.015653,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,12.08488,16.670893,rung_12_5
-0.068846,-0.015869,0.025664,0.13767,0.036414,0.057538,0.195665,-1.367843,0.066574,0.010189,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,2.968832,9.536658,-0.220328,-0.120211,-0.019933,0.307984,0.013949,0.148135,0.331286,-1.302874,0.431153,0.006562,-0.0,2.12949,34.179687,36.132812,69.335937,0.0,6.175626,27.828957,-0.247114,-0.128597,-0.065853,0.119002,-0.061086,0.086275,0.006709,-0.974826,0.063716,0.024734,-0.0,2.12949,0.976562,1.953125,5.859375,69.335937,10.419526,15.52547,rung_12_5
-0.053307,-0.010841,0.033923,0.179499,0.04244,0.058635,0.203431,-1.272748,0.062171,0.001817,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,3.035233,9.70364,-0.409412,-0.134644,-0.038559,0.322131,-0.009263,0.159651,0.139796,-0.80887,0.407591,0.004655,-0.0,2.12949,34.179687,36.132812,69.335937,0.976562,7.273027,27.192207,-0.31537,-0.160247,-0.000539,0.183255,-0.039779,0.123683,-0.328998,-1.250172,0.112676,0.01669,-0.0,2.12949,0.976562,1.953125,69.335937,3.90625,12.102059,16.523594,rung_12_5
-0.05292,-0.010857,0.033254,0.178782,0.042017,0.058648,0.19791,-1.25447,0.069416,0.000888,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,2.988034,9.460789,-0.34153,-0.133363,-0.039151,0.331172,-0.006007,0.15229,0.299392,-1.012484,0.402723,0.013343,-0.0,2.12949,34.179687,36.132812,69.335937,70.3125,6.730473,25.997913,-0.182334,-0.079111,-0.001167,0.211736,0.008722,0.09749,0.058682,-1.35187,0.176488,0.031103,-0.0,2.12949,0.0,1.953125,69.335937,2.929688,11.224014,15.467789,rung_12_5
-0.052488,-0.008564,0.038427,0.200451,0.044787,0.059714,0.209706,-1.161815,0.029357,0.002502,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,3.253858,9.554668,-0.361018,-0.133863,-0.041572,0.335977,-0.007862,0.153824,0.275073,-0.974864,0.31416,0.010345,-0.0,2.12949,34.179687,36.132812,69.335937,0.976562,6.63757,27.155863,-0.271099,-0.081929,-0.000168,0.217179,-0.001533,0.107067,-0.097954,-0.892699,0.062316,0.031609,-0.0,2.12949,0.0,1.953125,5.859375,4.882812,11.161903,15.902253,rung_12_5
-0.058237,-0.018897,0.020385,0.144404,0.032256,0.056884,0.22392,-1.348641,0.092346,0.004258,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.347108,9.602512,-0.235492,-0.131294,-0.035377,0.319583,-0.000161,0.148614,0.364878,-1.192706,0.343057,0.010184,-0.0,2.12949,34.179687,36.132812,69.335937,70.3125,7.027831,27.322132,-0.555726,-0.322956,-0.072135,0.190696,-0.130729,0.202613,-0.270595,-1.288635,0.078125,0.018945,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,11.63431,14.821861,rung_12_5
-0.101505,-0.028441,0.012431,0.136036,0.022119,0.059402,0.159894,-1.166946,0.009099,0.010578,-0.0,2.12949,34.179687,0.0,0.976562,36.132812,3.222647,9.307387,-0.2344,-0.095471,0.012784,0.54788,0.039634,0.157292,0.40351,-0.790974,0.365206,0.031358,-0.0,2.12949,34.179687,0.0,36.132812,69.335937,9.031845,28.356436,-0.571892,-0.387016,-0.241246,0.180073,-0.204673,0.196467,0.227816,-1.273731,0.074244,0.044203,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,12.601575,15.381495,rung_12_5
-0.073385,-0.021851,0.020801,0.131689,0.029836,0.057688,0.191125,-1.351704,0.043756,0.003092,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.027894,9.189429,-0.248974,-0.116195,-0.02087,0.329503,0.014262,0.150124,0.320752,-1.191251,0.273919,0.016023,-0.0,2.12949,34.179687,0.0,36.132812,69.335937,7.329639,28.14728,-0.658815,-0.463827,-0.236111,0.113293,-0.257502,0.218369,-0.050773,-1.44563,0.191783,0.023958,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,13.250556,17.798649,rung_12_5
-0.061764,-0.018884,0.021946,0.154929,0.032689,0.057517,0.205786,-1.329823,0.085889,0.008038,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.431202,9.44522,-0.224284,-0.120619,-0.02066,0.317458,0.010653,0.145955,0.329408,-1.257905,0.395514,0.01733,-0.0,2.12949,34.179687,36.132812,69.335937,70.3125,7.230145,25.915295,-0.550351,-0.398564,-0.200778,0.158762,-0.202364,0.203807,0.002562,-1.32652,0.079072,0.02019,-0.0,2.12949,0.976562,1.953125,69.335937,4.882812,12.069609,15.226041,rung_12_5
-0.056955,-0.015525,0.026557,0.154065,0.036279,0.05696,0.203559,-1.374979,0.05191,0.004196,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,3.149823,9.741076,-0.365445,-0.137614,-0.044868,0.321828,-0.014623,0.156965,0.214118,-0.940939,0.325049,0.011098,-0.0,2.12949,34.179687,69.335937,36.132812,70.3125,7.101744,27.08193,-0.583228,-0.343985,-0.161591,0.18943,-0.177242,0.192732,-0.06934,-1.085092,0.079204,0.033422,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,12.827016,16.515503,rung_12_5
-0.088656,-0.024438,0.016428,0.136072,0.026197,0.05858,0.176624,-1.22489,0.092759,0.003187,-0.0,2.12949,0.0,34.179687,0.976562,69.335937,3.081819,10.250756,-0.20758,-0.111109,-0.012607,0.323667,0.020798,0.147832,0.337163,-1.294441,0.374116,0.007226,-0.0,2.12949,34.179687,0.0,69.335937,36.132812,6.99177,29.558395,-0.396475,-0.190351,-0.018197,0.2174,-0.052137,0.152572,-0.394975,-1.014655,0.202266,0.011245,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,12.387161,17.297611,rung_12_5
-0.06602,-0.023192,0.018257,0.135948,0.028779,0.057316,0.213984,-1.330198,0.089047,0.008416,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.349851,9.646384,-0.235352,-0.113391,-0.010469,0.418245,0.021758,0.152701,0.387343,-1.02205,0.355367,0.011808,-0.0,2.12949,34.179687,36.132812,69.335937,70.3125,8.005369,27.83226,-0.344257,-0.161168,-0.050485,0.192404,-0.059758,0.126792,-0.17882,-0.890398,0.044516,0.017382,-0.0,2.12949,0.976562,1.953125,5.859375,2.929688,11.730856,16.294401,rung_12_5
-0.119915,-0.026863,0.014453,0.133439,0.022262,0.060522,0.078998,-1.027488,0.06463,0.007392,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.094696,9.533573,-0.225498,-0.114313,-0.012117,0.362647,0.018491,0.149363,0.344195,-1.201015,0.376228,0.013528,-0.0,2.12949,34.179687,0.0,0.976562,36.132812,7.076368,27.325041,-0.458369,-0.297394,-0.129226,0.238249,-0.139303,0.164769,0.111191,-1.102463,0.094658,0.009783,-0.0,2.12949,0.976562,1.953125,69.335937,70.3125,12.130242,16.774015,rung_12_5
-0.088156,-0.021213,0.021091,0.14026,0.030241,0.057569,0.172114,-1.281405,0.094219,0.007566,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,2.802321,9.294968,-0.328018,-0.131844,-0.034551,0.31519,-0.004893,0.152236,0.270796,-1.096121,0.40239,0.004837,-0.0,2.12949,34.179687,36.132812,69.335937,70.3125,6.949734,27.0853,-0.644434,-0.401655,-0.234972,0.151277,-0.234011,0.196126,0.063626,-1.095708,0.227069,0.023769,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,12.646432,16.984459,rung_12_5
-0.141238,-0.025956,0.014762,0.139744,0.023161,0.062095,0.025765,-0.86093,0.062364,0.010858,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,2.855997,9.323009,-0.27117,-0.11048,-0.009814,0.335073,0.021177,0.150784,0.302348,-1.15408,0.278312,0.023108,-0.0,2.12949,34.179687,0.0,0.976562,69.335937,6.811373,27.428406,-0.595472,-0.379213,-0.181433,0.198364,-0.161585,0.235756,-0.057099,-1.463036,0.130901,0.015083,-0.0,2.12949,0.976562,1.953125,5.859375,69.335937,12.022519,16.474499,rung_12_5
